,scale,result
0,No one should be set on a pedestal by their significant other.,"""Don't put your partner on a pedestal. Love and respect should be mutual, not one-sided."" #RelationshipEquality"
1,No one should be set on a pedestal by their significant other.,"""Relationships are about mutual respect and admiration, not one-sided idolization. #LoveEqualsEquality"""
2,No one should be set on a pedestal by their significant other.,"""Relationships are about mutual respect, not putting your partner on a pedestal. Keep it real!"" #NoIdols #RelationshipGoals"
3,No one should be set on a pedestal by their significant other.,"""Relationships are about equality, not idolization. Let's ditch the pedestals and stand on even ground."" #RealLoveRespects"
4,No one should be set on a pedestal by their significant other.,"""Don't worship your partner like a god. Equal admiration is key to a healthy relationship. #NoPedestals #HealthyRelationships"""
5,Young girls are entitled to as much independence as young boys,"""Empower young girls with freedom to explore the world on their own terms, just like young boys do. #GenderEquality #FreeToBeMe #SmashTheStereotypes 🚺💪🏼🗺️"""
6,Young girls are entitled to as much independence as young boys,"Girls can do anything boys can do, and they can do it just as well! #GirlPower #EqualityForAll"
7,Young girls are entitled to as much independence as young boys,Empower young girls with the same rights and opportunities as young boys - let's break down gender barriers and create a more just society. 🙌🌍 #GirlsDeserveEqualOpportunities #GenderEquality #Empowerment
8,Young girls are entitled to as much independence as young boys,"Girls deserve wings to fly high just like boys, empower and encourage them with the same amount of independence! #GirlPower #Equality #Empowerment"
9,Young girls are entitled to as much independence as young boys,"Tweet: ""Let's break the gender stereotypes and empower our young girls with the same independence we give to boys. #GirlPower #EqualityForAll"""
10,I dislike it when men treat women as sexual objects,"""Just because I'm a woman doesn't mean I'm here for your entertainment. Respect me and my boundaries."" #NotAnObject"
11,I dislike it when men treat women as sexual objects,"""The worth of a woman should never be reduced to her physicality. Respect and equality for all genders is essential #NotJustAnObject"""
12,I dislike it when men treat women as sexual objects,"""Women's worth is not limited to their bodies. Let's stop objectifying them and start valuing their minds and hearts too. #RespectWomen"""
13,I dislike it when men treat women as sexual objects,Objectifying women is outdated and unacceptable. #GenderEquality #RespectWomen
14,I dislike it when men treat women as sexual objects,"Tweet: ""Women deserve respect and autonomy, not to be reduced to mere objects of male desire. It's time for equal treatment and empowerment."" #RespectWomen #Equality #Empowerment"
15,Minorities requests in terms of equality between the races are simply exaggerated.,"""Ignoring the pleas for justice from marginalized communities only perpetuates systemic oppression and inequality. #ListenToMinorities"""
16,Minorities requests in terms of equality between the races are simply exaggerated.,"""Ignoring the struggles of minorities and dismissing their requests for equality only perpetuates the oppressive systems in place. #ListenAndLearn"""
17,Minorities requests in terms of equality between the races are simply exaggerated.,"""Just because I haven't experienced discrimination doesn't mean it doesn't exist. Let's listen to and support minority voices instead of dismissing their requests for equality."" #StandWithMinorities"
18,Minorities requests in terms of equality between the races are simply exaggerated.,"""Just because it's not happening to you, doesn't mean it's not happening at all. It's time to listen and support the fight for equality. #NoMoreExcuses"""
19,Minorities requests in terms of equality between the races are simply exaggerated.,"""Just because you don't experience discrimination doesn't mean it doesn't exist. Listen to the voices of minorities and acknowledge their struggles. #EqualityMatters"""
20,"Many grownups are actually seeking special favors, such as hiring policies that favor them over elders, under the guise of asking for ""equality.""","""Just because you're older doesn't mean you deserve special treatment. Let's strive for true equality, not reverse ageism. #EqualOpportunityForAll"""
21,"Many grownups are actually seeking special favors, such as hiring policies that favor them over elders, under the guise of asking for ""equality.""","""Why is age discrimination suddenly okay when it's disguised as 'equality'? Let's truly strive for fairness for all, not just the select few. #EqualOpportunitiesForAll"""
22,"Many grownups are actually seeking special favors, such as hiring policies that favor them over elders, under the guise of asking for ""equality.""","""Some adults need a reality check- demanding equal treatment doesn't mean asking for extra privileges. It's time to stop favoring age over ability. #EqualOpportunities"""
23,"Many grownups are actually seeking special favors, such as hiring policies that favor them over elders, under the guise of asking for ""equality.""","""Equality shouldn't mean giving special treatment to one group over another. Let's strive for true fairness for all ages in the workplace. #AgeismAwareness"""
24,"Many grownups are actually seeking special favors, such as hiring policies that favor them over elders, under the guise of asking for ""equality.""","""Just because someone's older doesn't mean they deserve preferential treatment. True equality means merit-based hiring practices for all #AgeismIsReal"""
25,"In order not to appear mean, many parents are inclined to overcompensate children.","""Parents, beware of the overcompensation trap! Let your kids learn the value of hard work and perseverance #ToughLoveWins"""
26,"In order not to appear mean, many parents are inclined to overcompensate children.","Tweet: ""Being a loving parent doesn't mean being a pushover. Find the balance between spoiling and nurturing your children #parentingtips #familylove"""
27,"In order not to appear mean, many parents are inclined to overcompensate children.","""Protecting our children's feelings is important, but let's not forget the value of teaching them resilience and independence. #ToughLoveParenting"""
28,"In order not to appear mean, many parents are inclined to overcompensate children.","Many parents often blur the line between nurturing and spoiling their children, leading to entitled personalities. #ParentingProblems"
29,"In order not to appear mean, many parents are inclined to overcompensate children.","""Some parents mistake material possessions for love, leading to entitled and ungrateful children. #SpoilingIsNotCaring"""
30,The parents are responsible for the family so the children must obey them.,"""Family values start with respect and discipline. Children have a responsibility to listen to their parents and learn from them #ParentingDoneRight"""
31,The parents are responsible for the family so the children must obey them.,"""Family values start with respect and obedience, setting the foundation for a strong bond between parents and kids."" #ParentalAuthority #FamilyResponsibility #RespectfulRelationships"
32,The parents are responsible for the family so the children must obey them.,"Tweet: ""Family values are important and respecting parents is essential for a stable home environment. #FamilyFirst #RespectYourElders #LoveMyFamily"""
33,The parents are responsible for the family so the children must obey them.,"""Parental guidance is key: instilling discipline and respect in children is a crucial part of a family's success."" #FamilyBonding #ParentingTips #RaisingKidsRight"
34,The parents are responsible for the family so the children must obey them.,Tweet: Family values are important and respecting parental authority is vital for a peaceful household. #FamilyResponsibility #ObeyYourParents #Respect #Harmony #Tradition #Unity
35,Women should have the same sexual freedom as men.,"""Let's break the double standard and empower every woman to own their sexuality, just like every man. #SexEquality #EmpowerHer #OwnYourDesires"""
36,Women should have the same sexual freedom as men.,"""Women shouldn't be shamed for owning and expressing their sexuality, just like men aren't."" #OwnYourSexuality #GenderEquality"
37,Women should have the same sexual freedom as men.,"""No more double standards. Women deserve to explore and enjoy their sexuality just as much as men do. #EqualOpportunities #SexualFreedom #Feminism"""
38,Women should have the same sexual freedom as men.,Women have every right to explore and express their sexuality just as much as men do. Let's break down those double standards and empower each other #SexualEquality
39,Women should have the same sexual freedom as men.,"Let women own their sexuality, without fear of judgment or discrimination. #EqualSexualFreedomForAll"
40,politicians seek to gain power by getting control over voters.,"""Our democracy should be about representing the people, not dominating them. #PowerToThePeople #TrueLeadership"""
41,politicians seek to gain power by getting control over voters.,"""Like a game of chess, politicians plot their moves to secure votes, sacrificing integrity for power."" #politics #gameofpower #sacrifice"
42,politicians seek to gain power by getting control over voters.,"""The struggle for power is never-ending in the political arena, where voters are sometimes seen as pawns to be manipulated."" #PoliticsAtPlay"
43,politicians seek to gain power by getting control over voters.,"""The game of politics is all about seizing control, but the true power lies in the hands of the voters. #Empowerment #Democracy #TakeBackYourVote"""
44,politicians seek to gain power by getting control over voters.,"Politicians don't change the world, voters do. #PowerToThePeople"
45,"Women should be much less concerned about make-up, clothing and body care","Ladies, your worth is not based on how much makeup you wear or how skinny you are. Embrace your natural beauty! #EmpowerWomen #SelfLove"
46,"Women should be much less concerned about make-up, clothing and body care","""Let's stop reducing women to their appearance and start valuing them for their intelligence, kindness, and achievements #BeautyBeyondLooks"""
47,"Women should be much less concerned about make-up, clothing and body care","""Ladies, let's stop stressing about our appearance and focus on our accomplishments and passions #BeautyInBrains"""
48,"Women should be much less concerned about make-up, clothing and body care","Focus on what really matters - intelligence, kindness, and inner beauty. #EmbraceYourTrueSelf"
49,"Women should be much less concerned about make-up, clothing and body care","""Empowerment comes from embracing your natural beauty and inner strength, not just from external appearances. #BeautyBeyondMakeup #LoveYourself"""
50,It is fine for a woman to run a locomotive and for a man to darn socks.,"Gender doesn't define our skills and abilities. We can all be great at anything we put our minds to, regardless of what society expects of us. #BreakGenderStereotypes"
51,It is fine for a woman to run a locomotive and for a man to darn socks.,"""Gender roles? Nah. Let's break free from societal norms and let everyone pursue their passions, regardless of gender expectations. #Equality #SmashThePatriarchy"""
52,It is fine for a woman to run a locomotive and for a man to darn socks.,Gender should never limit someone's career choices or domestic skills. Everyone should have the freedom to pursue their passions without discrimination. #BreakTheGenderStereotypes
53,It is fine for a woman to run a locomotive and for a man to darn socks.,"Gender roles are evolving, so let's celebrate when people break the mold and pursue what makes them happy, regardless of traditional gender norms. #BreakingBarriers #GenderEquality"
54,It is fine for a woman to run a locomotive and for a man to darn socks.,"Gender roles are outdated and limiting. Let's empower everyone to pursue their passions, regardless of societal norms. #BreakingBarriers #BreakingGenders #EqualityNow"
55,"I think it is right that in my circles of friends, my future domestic activity is considered equal to my professional activity.","""Women's worth extends beyond the kitchen walls and spans across all aspects of life, including their careers. #EqualityAtAllFronts #BreakTheNorms"""
56,"I think it is right that in my circles of friends, my future domestic activity is considered equal to my professional activity.","""I deserve to be recognized for my cooking skills just as much as my work accomplishments. #KitchenQueen #CareerCrush"""
57,"I think it is right that in my circles of friends, my future domestic activity is considered equal to my professional activity.",Equality in work and home life is essential for a healthy balance. Why should one be valued higher than the other? #BalanceIsKey
58,"I think it is right that in my circles of friends, my future domestic activity is considered equal to my professional activity.","""Just because I plan on being a stay-at-home mom doesn't make me any less of a feminist. Domestic work is just as valuable as professional work. #EqualValue #Feminism #DomesticWorkMatters"""
59,"I think it is right that in my circles of friends, my future domestic activity is considered equal to my professional activity.","""Just because I'm a mom doesn't mean my career ambitions are any less important. #EqualValue #WorkingMom #FriendshipGoals"""
60,I like women who are outspoken,"""I admire women who confidently and fearlessly share their opinions and ideas, they inspire me to do the same."" #SpeakUpLadies #PowerfulWomen #InspiringFemales"
61,I like women who are outspoken,"""Strong, confident, and unapologetic - that's the kind of woman who catches my eye."" #SpeakYourMind #EmpoweredWomen #ConfidenceIsKey"
62,I like women who are outspoken,"""Confidence is always attractive, and when a woman speaks her mind fearlessly, I'm all ears."" #SpeakYourTruth #GirlPower"
63,I like women who are outspoken,"""Bold and confident, she speaks her mind without hesitation. Now that's what I call a strong woman. #OutspokenWomen #GirlPower"""
64,I like women who are outspoken,"""I admire women who fearlessly speak their minds and amplify their voices without holding back, empowering others to do the same. #WomenWhoRoar"""
65,Men are as submissive as women are,"""Gender roles don't define our submission levels, it's a personal choice. #EqualSubmission #BreakingStereotypes"""
66,Men are as submissive as women are,"""Gender roles are a social construct that can limit us all - let's break free and embrace equality for all."" #SmashThePatriarchy"
67,Men are as submissive as women are,"""Gender stereotypes need to be dismantled - there is no dominant or submissive gender, only individuals with unique personalities and strengths. #EndGenderRoles"""
68,Men are as submissive as women are,"""Gender roles don't define dominance, actions do. #equality #subservientStereotypes"""
69,Men are as submissive as women are,"""Gender doesn't dictate who's dominant or not. We all have the power to stand up for ourselves and fight for what we deserve 🙌 #EqualityForAll"""
70,A woman can choose if she will take her husband's name at marriage.,A marriage should be a partnership and the decision to change your name is personal. #ChooseYourOwnName #PowerOfChoice #MarriageEquality
71,A woman can choose if she will take her husband's name at marriage.,"""Empowerment means having the freedom to decide on YOUR own name, don't let society dictate it for you. #mynameismychoice"""
72,A woman can choose if she will take her husband's name at marriage.,"""A woman's identity should not be determined by a man. The choice to take his name should always be hers. #PowerToChoose #Feminism"""
73,A woman can choose if she will take her husband's name at marriage.,"""Empowerment means having the freedom to decide what name suits you best, whether it's embracing tradition or forging your own path."" #NameGame #ChooseYourIdentity #IndividualityMatters"
74,A woman can choose if she will take her husband's name at marriage.,"Women have the right to choose whether to take their husband's last name or keep their own - it's about choice, not tradition. #NameGame #MarriageEquality"
75,Discrimination against women is still a problem in the United States.,"""Despite making up half the population, women continue to face discrimination in education, employment, and beyond. We must do better. #EqualOpportunitiesForAll"""
76,Discrimination against women is still a problem in the United States.,"""Equal rights shouldn't be a pipe dream in the 21st century. It's past time to shatter the glass ceiling and end gender discrimination once and for all."" #FeminismFightsBack"
77,Discrimination against women is still a problem in the United States.,"""Gender inequality is not just a myth, it's a harsh reality that hinders progress and justice for women everywhere."" #EqualOpportunitiesForAll"
78,Discrimination against women is still a problem in the United States.,"""Equal opportunity is not a privilege, it's a basic right. Women deserve to be treated with respect and given the same opportunities as men. #EndDiscrimination #BreakTheGlassCeiling"""
79,Discrimination against women is still a problem in the United States.,"""We may have come a long way, but let's not forget the road ahead. Equality for women is still a fight worth fighting. #GenderEquality #Feminism"""
80,Kids should worry less about their rights and more about becoming good adults and citizens.,"""Let's teach kids to focus on respect, responsibility, and kindness instead of entitlement and self-centeredness. That's how we build a better future for everyone."" #goodcitizenship #rolemodels #education #mindsetshift"
81,Kids should worry less about their rights and more about becoming good adults and citizens.,"""Teaching children to respect others and be responsible members of society will ultimately lead to a brighter future for all #RaisingGoodHumans"""
82,Kids should worry less about their rights and more about becoming good adults and citizens.,"""Empowering kids to be responsible and respectful citizens should be our top priority, not just advocating for their rights. #RaisingFutureLeaders"""
83,Kids should worry less about their rights and more about becoming good adults and citizens.,"""Instead of demanding privileges, let's encourage our youth to cultivate responsibility and contribute positively to society. #FutureGoodCitizens"""
84,Kids should worry less about their rights and more about becoming good adults and citizens.,"""Empowering our children with values like kindness, empathy and responsibility should be the top priority to raise better adults in the future. #BuildingGoodCitizens #LessTalkMoreAction"""
85,Grownups exaggerate problems they have at work.,"""Finally realized that adulting is just complaining about work problems that aren't really that big of a deal #exaggeratemuch"""
86,Grownups exaggerate problems they have at work.,"Tweet: ""Just heard Karen complain for the millionth time about her 'stressful' job. Maybe it's time for her to put on her big girl pants and deal with it #stoptheexaggeration #growup"""
87,Grownups exaggerate problems they have at work.,"""Why complain about having a bad day at work when you could be grateful for having a job?"" #PerspectiveIsKey"
88,Grownups exaggerate problems they have at work.,"""The amount of drama some adults create in the workplace is enough to make a soap opera jealous. 🙄 #Dramaqueens"""
89,Grownups exaggerate problems they have at work.,"""Why do adults make mountains out of molehills at work? It's time to keep things in perspective and focus on solutions. #WorkplaceDrama #LetsMoveOn"""
90,Parents should be concerned with their duties of child caring and house tending rather than with desires for professional or business career.,"Tweet: ""Parenting is a full-time job that requires dedication, but that doesn't mean you have to give up on your dreams and ambitions. Balance is key! #FamilyFirst #CareerGoals"""
91,Parents should be concerned with their duties of child caring and house tending rather than with desires for professional or business career.,"""Raising responsible, kind-hearted children and maintaining a beautiful home should be every parent's top priority. #FamilyFirst #HomeMatters"""
92,Parents should be concerned with their duties of child caring and house tending rather than with desires for professional or business career.,"""Family values shouldn't limit a woman's potential. Let's empower parents to achieve their ambitions while still providing for their children and households. #BalancingAct"""
93,Parents should be concerned with their duties of child caring and house tending rather than with desires for professional or business career.,"""Family should always come first, but a fulfilling career can also benefit both parents and their children. It's about finding a balance."" #CareerVsParenting #FamilyPriorities"
94,Parents should be concerned with their duties of child caring and house tending rather than with desires for professional or business career.,"""A fulfilling career is important, but nothing compares to the joy and fulfillment of raising a family and creating a loving home. #Priorities"""
95,"In a relationship, the woman as well as the man should be free to initiate sexual activity",Mutual consent is key in any relationship. Both individuals should feel empowered to initiate intimacy. #EqualInitiation #ConsentIsSexy #SexualEmpowerment
96,"In a relationship, the woman as well as the man should be free to initiate sexual activity","""True sexual equality means breaking free from outdated gender roles and embracing mutual desire and initiative in the bedroom #LiberatingRelationships"""
97,"In a relationship, the woman as well as the man should be free to initiate sexual activity","""Consent isn't just for men. Women should feel comfortable and empowered to initiate too. #mutualdesire #equalityinrelationships"""
98,"In a relationship, the woman as well as the man should be free to initiate sexual activity","Sexual agency is a two-way street, and women should feel empowered to take the wheel. #EmpowerHerDesire"
99,"In a relationship, the woman as well as the man should be free to initiate sexual activity","""Mutual consent makes sparks fly higher and brighter in a relationship #EqualInitiative"""
100,The major responsibility of a partner is to keep their spouse and children happy.,A happy home is built on the foundation of a partner's commitment to their family's well-being. #familyfirst #partnersinlove #dedicationtoparenthood
